COD. PRODUCTO,AÑO,MES,MES NUMERO,DESCRIPCION,CATEGORIA,UNIDADES VENDIDAS, VALOR ,INVENTARIO FINAL,
122027,2023,Febrero,2,CARRETE  3.1   12 MM X 24000 LOOPS NEGRO,ANILLO DOBLE O,0,0, 1 ,
122028,2023,Febrero,2,CARRETE  3.1   12 MM X 24000 LOOPS PLATA,ANILLO DOBLE O,0,0, 3 ,
122029,2023,Febrero,2,CARRETE  3.1   14 MM X 19300 LOOPS BLANCO,ANILLO DOBLE O,0,0, -   ,
122030,2023,Febrero,2,CARRETE  3.1   14 MM X 19300 LOOPS NEGRO,ANILLO DOBLE O,1,361200, 32 ,
122031,2023,Febrero,2,CARRETE  3.1   14 MM X 19300 LOOPS PLATA,ANILLO DOBLE O,0,0, 2 ,
122081,2023,Febrero,2,DOBLE O CARTA 2.1    8 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,0,0, 250 ,
122082,2023,Febrero,2,DOBLE O CARTA 2.1    8 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,3,79500, 305 ,
122083,2023,Febrero,2,DOBLE O CARTA 2.1    9 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,5,157500, 253 ,
122084,2023,Febrero,2,DOBLE O CARTA 2.1    9 MM  CAJA X 100 NEGRO,ANILLO DOBLE O,24,683550, 224 ,
122085,2023,Febrero,2,DOBLE O CARTA 2.1   12 MM  CAJA X 100 BLANCO,ANILLO DOBLE O,10,396000, 29 ,
